Time,bidPrice,bidSize,askPrice,askSize,totalVolume,volatility,delta,gamma,theta,vega,rho,markPrice

09:33:08,1.35,1,1.37,32,801,13.397,0.497,0.115,-0.408,0.103,0.008,1.36
09:33:08,1.35,4,1.38,42,801,13.397,0.497,0.115,-0.408,0.103,0.008,1.37
09:33:11,1.34,7,1.36,32,810,13.229,0.5,0.117,-0.408,0.103,0.009,1.35
09:33:13,1.34,19,1.37,76,812,13.229,0.5,0.117,-0.408,0.103,0.009,1.36
09:33:15,1.36,9,1.38,20,812,13.422,0.495,0.115,-0.414,0.103,0.009,1.37
09:33:18,1.4,4,1.42,57,814,13.422,0.495,0.115,-0.414,0.103,0.009,1.41
09:33:20,1.4,10,1.42,25,814,13.422,0.495,0.115,-0.414,0.103,0.009,1.41
09:33:22,1.42,10,1.45,65,815,13.491,0.507,0.114,-0.413,0.103,0.009,1.44
09:33:25,1.42,7,1.44,27,815,13.491,0.507,0.114,-0.413,0.103,0.009,1.43
09:33:27,1.44,7,1.47,60,817,13.306,0.513,0.116,-0.406,0.103,0.009,1.46
09:33:30,1.46,20,1.5,103,827,13.306,0.513,0.116,-0.406,0.103,0.009,1.48
09:33:32,1.49,9,1.52,80,828,13.557,0.529,0.114,-0.415,0.103,0.009,1.51
09:33:34,1.5,9,1.52,20,828,13.557,0.529,0.114,-0.415,0.103,0.009,1.51
09:33:37,1.51,18,1.53,20,829,13.531,0.53,0.114,-0.413,0.103,0.009,1.52
09:33:39,1.52,10,1.55,80,836,13.531,0.53,0.114,-0.413,0.103,0.009,1.54
09:33:41,1.51,17,1.53,54,838,13.528,0.531,0.114,-0.413,0.103,0.009,1.52
09:33:44,1.5,20,1.53,20,861,13.528,0.531,0.114,-0.413,0.103,0.009,1.52
09:33:46,1.51,10,1.53,50,873,13.528,0.531,0.114,-0.413,0.103,0.009,1.52
09:33:48,1.53,3,1.55,13,882,13.356,0.532,0.115,-0.409,0.103,0.009,1.54
09:33:51,1.52,3,1.54,50,884,13.356,0.532,0.115,-0.409,0.103,0.009,1.53
09:33:53,1.51,6,1.52,47,887,13.48,0.531,0.114,-0.407,0.103,0.009,1.52
09:33:55,1.5,4,1.52,11,919,13.48,0.531,0.114,-0.407,0.103,0.009,1.51
09:33:58,1.5,20,1.51,1,949,13.41,0.529,0.115,-0.413,0.103,0.009,1.51
09:34:00,1.47,17,1.49,18,964,13.41,0.529,0.115,-0.413,0.103,0.009,1.48
09:34:02,1.48,9,1.51,90,966,13.375,0.524,0.115,-0.404,0.103,0.009,1.5
09:34:05,1.49,54,1.52,46,966,13.375,0.524,0.115,-0.404,0.103,0.009,1.51
09:34:07,1.48,10,1.51,70,968,13.488,0.528,0.114,-0.415,0.103,0.009,1.5
09:34:10,1.49,20,1.51,10,968,13.488,0.528,0.114,-0.415,0.103,0.009,1.5
09:34:12,1.51,6,1.53,23,970,13.488,0.528,0.114,-0.415,0.103,0.009,1.52
09:34:14,1.53,10,1.55,23,970,13.505,0.53,0.114,-0.414,0.103,0.009,1.54
09:34:17,1.54,22,1.56,46,970,13.505,0.53,0.114,-0.414,0.103,0.009,1.55
09:34:19,1.57,11,1.59,70,982,13.414,0.537,0.115,-0.406,0.103,0.009,1.58
09:34:21,1.57,1,1.59,70,992,13.414,0.537,0.115,-0.406,0.103,0.009,1.58
09:34:24,1.55,12,1.59,86,992,13.35,0.542,0.115,-0.4,0.103,0.009,1.57
09:34:26,1.57,20,1.59,10,992,13.35,0.542,0.115,-0.4,0.103,0.009,1.58
09:34:29,1.59,1,1.6,1,997,13.258,0.547,0.116,-0.401,0.102,0.009,1.6
09:34:31,1.6,30,1.62,6,1004,13.258,0.547,0.116,-0.401,0.102,0.009,1.61
09:34:33,1.58,2,1.6,13,1014,13.276,0.554,0.115,-0.408,0.102,0.01,1.59
09:34:36,1.56,74,1.59,12,1016,13.276,0.554,0.115,-0.408,0.102,0.01,1.58
09:34:38,1.57,15,1.6,50,1018,13.221,0.55,0.116,-0.402,0.102,0.009,1.59
09:34:41,1.57,56,1.6,10,1018,13.221,0.55,0.116,-0.402,0.102,0.009,1.59
09:34:43,1.57,87,1.6,12,1032,13.221,0.55,0.116,-0.402,0.102,0.009,1.59
09:34:45,1.54,60,1.57,184,1040,13.162,0.553,0.116,-0.399,0.102,0.009,1.56
09:34:48,1.52,15,1.54,103,1062,13.162,0.553,0.116,-0.399,0.102,0.009,1.53
09:34:50,1.52,122,1.56,7,1062,13.252,0.542,0.116,-0.407,0.103,0.009,1.54
09:36:32,1.6,16,1.62,8,1607,13.091,0.552,0.117,-0.399,0.102,0.01,1.61
09:36:32,1.58,14,1.61,4,1608,13.091,0.552,0.117,-0.399,0.102,0.01,1.6
09:36:34,1.59,10,1.61,6,1608,13.086,0.559,0.117,-0.393,0.102,0.009,1.6
